Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 03:16:43.670,114306.7,0.003,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.002,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.002,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.006,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.004,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.002,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.142,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.027,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.006,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.006,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.006,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.015,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.006,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.006,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.004,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.004,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.002,BTCUSDT
2025-09-30 03:16:43.670,114306.7,0.006,BTCUSDT
2025-09-30 03:16:43.670,114306.8,0.002,BTCUSDT
2025-09-30 03:16:43.670,114306.8,0.001,BTCUSDT
2025-09-30 03:16:43.670,114306.8,0.001,BTCUSDT
2025-09-30 03:16:43.670,114307.2,0.001,BTCUSDT
2025-09-30 03:16:43.670,114307.3,0.002,BTCUSDT
2025-09-30 03:16:43.670,114307.9,0.002,BTCUSDT
2025-09-30 03:16:43.672,114308.9,0.002,BTCUSDT
2025-09-30 03:16:43.672,114308.9,0.001,BTCUSDT
2025-09-30 03:16:43.672,114309.0,0.001,BTCUSDT
2025-09-30 03:16:43.672,114309.1,0.002,BTCUSDT
2025-09-30 03:16:43.672,114309.4,0.001,BTCUSDT
2025-09-30 03:16:43.672,114309.4,0.001,BTCUSDT
2025-09-30 03:16:43.672,114309.5,0.001,BTCUSDT
2025-09-30 03:16:43.672,114309.5,0.001,BTCUSDT
2025-09-30 03:16:43.672,114309.6,0.094,BTCUSDT
2025-09-30 03:16:43.672,114309.6,0.866,BTCUSDT
2025-09-30 03:16:43.672,114309.8,0.002,BTCUSDT
2025-09-30 03:16:43.672,114310.0,0.001,BTCUSDT
2025-09-30 03:16:43.672,114310.0,0.002,BTCUSDT
2025-09-30 03:16:43.672,114310.3,0.178,BTCUSDT
2025-09-30 03:16:43.672,114310.3,0.003,BTCUSDT
2025-09-30 03:16:43.672,114310.4,0.002,BTCUSDT
2025-09-30 03:16:43.672,114310.4,0.054,BTCUSDT
2025-09-30 03:16:43.675,114310.4,0.075,BTCUSDT
2025-09-30 03:16:43.675,114310.4,0.001,BTCUSDT
2025-09-30 03:16:43.675,114310.4,0.002,BTCUSDT
2025-09-30 03:16:43.675,114310.4,0.002,BTCUSDT
2025-09-30 03:16:43.675,114310.4,0.001,BTCUSDT
2025-09-30 03:16:43.675,114310.5,0.178,BTCUSDT
2025-09-30 03:16:43.675,114310.6,0.002,BTCUSDT
2025-09-30 03:16:43.675,114310.6,0.007,BTCUSDT
